Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,IMDB_Rating,Rotten_Tomatoes_Rating,Metacritic_Rating
"Love, Rosie",2014,R,17 Oct 2014,102 min,"Comedy, Romance",Christian Ditter,"Juliette Towhidi, Cecelia Ahern","Lily Collins, Sam Claflin, Christian Cooke","Rosie and Alex have been best friends since they were 5, so they couldn't possibly be right for one another...or could they? When it comes to love, life and making the right choices, these two are their own worst enemies.",English,"Germany, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BMTk0Mzg1MTU1MF5BMl5BanBnXkFtZTgwMjU3ODI2MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,7.1,"157,626",tt1638002,movie,N/A,"$20,431",N/A,N/A,True,7.1/10,31%,44/100
Love and Monsters,2020,PG-13,16 Oct 2020,109 min,"Action, Adventure, Comedy",Michael Matthews,"Brian Duffield, Matthew Robinson","Dylan O'Brien, Jessica Henwick, Michael Rooker","Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his high school sweetheart.",English,"Canada, United States, Australia",Nominated for 1 Oscar. 1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BYWVkMWEyMDUtZTVmOC00MTYxLWE1ZTUtNjk4M2IzMjY2OTIxXkEyXkFqcGdeQXVyMDk5Mzc5MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.9,"147,862",tt2222042,movie,N/A,"$1,070,714",N/A,N/A,True,6.9/10,94%,63/100
From Russia with Love,1963,PG,27 May 1964,115 min,"Action, Adventure, Thriller",Terence Young,"Richard Maibaum, Johanna Harwood, Ian Fleming","Sean Connery, Robert Shaw, Lotte Lenya",James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by the organization Spectre.,"English, Russian, Turkish, French, Romany, Italian",United Kingdom,Won 1 BAFTA Award3 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMDU5ZWMxZjctZWNjNi00OGYxLWI0MDEtZmJhYTJkMmEyMTIyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.3,"146,683",tt0057076,movie,N/A,"$24,796,765",N/A,N/A,True,7.3/10,97%,83/100
"Love, Simon",2018,PG-13,16 Mar 2018,110 min,"Comedy, Drama",Greg Berlanti,"Becky Albertalli, Elizabeth Berger, Isaac Aptaker","Nick Robinson, Jennifer Garner, Josh Duhamel","Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity.","English, German, French",United States,9 wins & 31 nominations,https://m.media-amazon.com/images/M/MV5BNTMyZDdiMzUtZjcxNS00Mjc3LTljY2UtYjI4YmY5NzJlYjc1XkEyXkFqcGdeQXVyMTA5OTkwNTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.5,"127,629",tt5164432,movie,N/A,"$40,826,341",N/A,N/A,True,7.5/10,92%,72/100
From Paris with Love,2010,R,05 Feb 2010,92 min,"Action, Crime, Thriller",Pierre Morel,"Adi Hasak, Luc Besson","John Travolta, Jonathan Rhys Meyers, Kasia Smutniak","In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the city.","English, French, Mandarin, German","France, United Kingdom, United States",N/A,https://m.media-amazon.com/images/M/MV5BODAwMDFjNjktMWY2Mi00MmVhLWI0MjYtNzg4OTI0NzA5YzBjXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.4,"121,930",tt1179034,movie,N/A,"$24,077,427",N/A,N/A,True,6.4/10,37%,42/100
Eat Pray Love,2010,PG-13,13 Aug 2010,133 min,"Biography, Drama, Romance",Ryan Murphy,"Ryan Murphy, Jennifer Salt, Elizabeth Gilbert","Julia Roberts, Javier Bardem, Richard Jenkins","A married woman realizes how unhappy her marriage really is, and that her life needs to go in a different direction. After a painful divorce, she takes off on a round-the-world journey to ""find herself"".","English, Italian, Portuguese",United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMTY5NDkyNzkyM15BMl5BanBnXkFtZTcwNDQyNDk0Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,5.8,"107,235",tt0879870,movie,N/A,"$80,574,010",N/A,N/A,True,5.8/10,35%,50/100
I Love You Phillip Morris,2009,R,07 Jan 2011,98 min,"Biography, Comedy, Crime","Glenn Ficarra, John Requa","John Requa, Glenn Ficarra, Steve McVicker","Jim Carrey, Ewan McGregor, Leslie Mann","A cop turns con man once he comes out of the closet. Once imprisoned, he meets the second love of his life, whom he'll stop at nothing to be with.","English, Spanish","France, United States",6 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BNTUwZGU1ZTAtOGI4NC00ZDBlLTgxOGItNzdhOWFlNDczZDcxXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.6,"100,088",tt1045772,movie,N/A,"$2,037,459",N/A,N/A,True,6.6/10,71%,65/100
Stuck in Love.,2012,R,02 May 2013,97 min,"Comedy, Drama, Romance",Josh Boone,"Josh Boone, Rick Bitzelberger","Greg Kinnear, Jennifer Connelly, Lily Collins","An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.",English,United States,3 wins,https://m.media-amazon.com/images/M/MV5BMTU1NzI5MDU3OV5BMl5BanBnXkFtZTcwNTE0NDMzOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,7.2,"92,494",tt2205697,movie,N/A,"$81,071",N/A,N/A,True,7.2/10,58%,49/100
To Rome with Love,2012,R,06 Jul 2012,112 min,"Comedy, Music, Romance",Woody Allen,Woody Allen,"Woody Allen, Penélope Cruz, Jesse Eisenberg","The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into.","English, Italian","United States, Italy, Spain",2 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMTcwNTg4MDMxM15BMl5BanBnXkFtZTcwNjAzMzY3Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.3,"91,080",tt1859650,movie,N/A,"$16,685,867",N/A,N/A,True,6.3/10,47%,54/100
"Paris, I Love You",2006,R,15 Jun 2007,120 min,"Comedy, Drama, Romance","Olivier Assayas, Frédéric Auburtin, Gurinder Chadha","Tristan Carné, Bruno Podalydès, Paul Mayeda Berges","Juliette Binoche, Leonor Watling, Ludivine Sagnier","Through the neighborhoods of Paris, love is veiled, revealed, imitated, sucked dry, reinvented, and awakened.","French, English, Spanish, Mandarin, Arabic","France, Liechtenstein, Switzerland, Germany, United States",3 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BZDgyNTU0YmYtM2UwOS00YjAzLThmYWQtNjQ1M2U0YzIyNTM4XkEyXkFqcGdeQXVyMjA1MDYwMjk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.2,"74,813",tt0401711,movie,N/A,"$4,899,278",N/A,N/A,True,7.2/10,86%,66/100
Love Me If You Dare,2003,R,28 May 2004,93 min,"Comedy, Drama, Romance",Yann Samuell,Yann Samuell,"Guillaume Canet, Marion Cotillard, Thibault Verhaeghe","As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, the...",French,"France, Belgium",5 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BNjIwOGJhY2QtMTA5Yi00MDhlLWE5OTgtYmIzZDNlM2UwZjMyXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,7.5,"72,574",tt0364517,movie,N/A,"$553,504",N/A,N/A,True,7.5/10,45%,45/100
A Lot Like Love,2005,PG-13,22 Apr 2005,107 min,"Comedy, Drama, Romance",Nigel Cole,Colin Patrick Lynch,"Ashton Kutcher, Amanda Peet, Taryn Manning",Unacquainted Emily and Oliver join the mile-high club together on the way from LAX to NYC--end of story. Except that they keep meeting constantly over the next seven years..,"English, American Sign ",United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTczMzM0NTkxMF5BMl5BanBnXkFtZTgwNjQzMDYyMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.6,"71,313",tt0391304,movie,N/A,"$21,845,719",N/A,N/A,True,6.6/10,41%,48/100
Love,2015,TV-MA,30 Oct 2015,135 min,"Drama, Romance",Gaspar Noé,Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin","Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.","English, French","France, Belgium",2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BZGQxZTFlZDctZjcyMy00NzA1LWFkMDYtNzRmZTkwYTFhYTc3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.1,"67,646",tt3774694,movie,N/A,"$249,083",N/A,N/A,True,6.1/10,42%,51/100
Love Hard,2021,TV-MA,05 Nov 2021,104 min,"Comedy, Romance",Hernán Jiménez,"Daniel Mackey, Rebecca Ewing","Nina Dobrev, Jimmy O. Yang, Darren Barnet","An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for the holidays, only to discover that she's been catfished. This lighthearted romantic comedy chronicles her attempt to reel in...",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BODIwNDIxN2YtMWU3ZS00MjU5LWIxMzctNmY1NDg5NDgwYmM0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.3,"62,220",tt10752004,movie,N/A,N/A,N/A,N/A,True,6.3/10,52%,42/100
Wristcutters: A Love Story,2006,R,02 Nov 2007,88 min,"Comedy, Drama, Fantasy",Goran Dukic,"Goran Dukic, Etgar Keret","Patrick Fugit, Shea Whigham, Tom Waits",A film set in a strange afterlife way station that has been reserved for people who have committed suicide.,"English, Russian","United States, United Kingdom",9 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BOGU3NTRhYWYtZWI3YS00NTZjLTliMWUtNTIyMGQ1MzliMjFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.2,"57,895",tt0477139,movie,N/A,"$446,165",N/A,N/A,True,7.2/10,,62/100
Show Me Love,1998,Not Rated,23 Oct 1998,89 min,"Comedy, Drama, Romance",Lukas Moodysson,Lukas Moodysson,"Alexandra Dahlström, Rebecka Liljeberg, Erica Carlson","Two teenage girls in small-town Sweden. Elin is beautiful, popular, and bored with life. Agnes is friendless, sad, and secretly in love with Elin.",Swedish,"Sweden, Denmark",19 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BZjMwODBmMWMtYzg5OS00MWZmLTljM2EtYWI4Zjc3ZmU4ZWFlXkEyXkFqcGdeQXVyNjg3MTIwODI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.5,"55,586",tt0150662,movie,N/A,"$169,331",N/A,N/A,True,7.5/10,91%,73/100
The Love Guru,2008,PG-13,20 Jun 2008,87 min,"Comedy, Romance, Sport",Marco Schnabel,"Mike Myers, Graham Gordy","Mike Myers, Jessica Alba, Romany Malco","Pitka, an American raised outside of his country by gurus, returns to the States in order to break into the self-help business. His first challenge is to settle the romantic troubles and subsequent professional skid of a star hock...",English,"United Kingdom, Germany, United States",5 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BMTg3OTY1MTQ3MF5BMl5BanBnXkFtZTcwMDIzMTM3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",24,3.8,"55,228",tt0811138,movie,N/A,"$32,235,793",N/A,N/A,True,3.8/10,13%,24/100
"New York, I Love You",2008,R,16 Oct 2009,103 min,"Comedy, Drama, Romance","Fatih Akin, Yvan Attal, Randall Balsmeyer","Hu Hong, Yao Meng, Israel Horovitz","Shia LaBeouf, Natalie Portman, Bradley Cooper","Eleven love stories set in one of the most loved and hated cities of the world, New York City.","English, French, Cantonese, Yiddish","United States, Bahrain",1 nomination,https://m.media-amazon.com/images/M/MV5BMTI3NDYxOTM4OF5BMl5BanBnXkFtZTcwOTEwNTI4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.2,"48,145",tt0808399,movie,N/A,"$1,588,015",N/A,N/A,True,6.2/10,37%,49/100
Endless Love,2014,PG-13,14 Feb 2014,104 min,"Drama, Mystery, Romance",Shana Feste,"Shana Feste, Joshua Safran, Scott Spencer","Gabriella Wilde, Alex Pettyfer, Bruce Greenwood",The story of a privileged girl and a charismatic boy whose instant desire sparks a love affair made only more reckless by parents trying to keep them apart.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BOTYzNDU1MzEyN15BMl5BanBnXkFtZTgwOTYwMTU0MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,6.2,"47,855",tt2318092,movie,N/A,"$23,438,250",N/A,N/A,True,6.2/10,16%,30/100
To All the Boys: P.S. I Still Love You,2020,TV-14,12 Feb 2020,101 min,"Comedy, Drama, Romance",Michael Fimognari,"Sofia Alvarez, J. Mills Goodloe, Jenny Han","Lana Condor, Noah Centineo, Jordan Fisher",Lara Jean and Peter have just taken their relationship from pretend to officially official when another recipient of one of her old love letters enters the picture.,English,United States,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BZjMwNDQ4NzMtOThmZi00NmMyLThkMWItMTA3MTg2YjdiZDRmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.1,"47,252",tt9354842,movie,N/A,N/A,N/A,N/A,True,6.1/10,77%,54/100
Sea of Love,1989,R,15 Sep 1989,113 min,"Crime, Drama, Mystery",Harold Becker,Richard Price,"Al Pacino, Ellen Barkin, John Goodman",A detective investigating a series of murders becomes involved with a woman who may be the culprit.,English,"United States, Canada",5 nominations,https://m.media-amazon.com/images/M/MV5BYjk5MTY0NTYtZTgzMi00NjVlLTk5ZWUtZWNmODUyYTkyNTQ0XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.8,"45,318",tt0098273,movie,N/A,"$58,571,513",N/A,N/A,True,6.8/10,75%,66/100
American Pie Presents: The Book of Love,2009,R,22 Dec 2009,93 min,Comedy,John Putch,"David H. Steinberg, Adam Herz (characters)","Eugene Levy, Bug Hall, Kevin M. Horton, Brandon Hardesty","Ten years after the first American Pie movie, three new hapless virgins discover the Bible hidden in the school library at East Great Falls High.","English, French",USA,N/A,https://m.media-amazon.com/images/M/MV5BZTZiOTQ2MGUtMDk3Mi00NmUzLWJmMGYtZmE1MzFiNDU4NjM2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,"44,740",tt1407050,movie,01 Oct 2014,N/A,N/A,N/A,True,4.8/10,,
Down with Love,2003,PG-13,16 May 2003,101 min,"Comedy, Romance",Peyton Reed,"Eve Ahlert, Dennis Drake","Ewan McGregor, Renée Zellweger, David Hyde Pierce","In 1962 New York City, love blossoms between a playboy journalist and a feminist advice author.",English,"Germany, United States",4 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BYjY0OTMyNmMtODEwZS00ZWJiLWI0ZjctNmNiNmJjMTMzYWM1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.3,"44,693",tt0309530,movie,N/A,"$20,305,251",N/A,N/A,True,6.3/10,60%,52/100
